x	y	Polygon_ID	acq_date	frp	acq_time	latitude	longitude	Neighbour	Neighbour_frp	Neighbour_acq_time	ELEV_max	ELEV_min	ELEV_median	ELEV_sum	ELEV_mode	ELEV_count	ELEV_mean	SLP_max	SLP_min	SLP_median	SLP_sum	SLP_mode	SLP_count	SLP_mean	EVT_max	EVT_min	EVT_median	EVT_sum	EVT_mode	EVT_count	EVT_mean	EVH_max	EVH_min	EVH_median	EVH_sum	EVH_mode	EVH_count	EVH_mean	EVC_max	EVC_min	EVC_median	EVC_sum	EVC_mode	EVC_count	EVC_mean	CBD_max	CBD_min	CBD_median	CBD_sum	CBD_mode	CBD_count	CBD_mean	CBH_max	CBH_min	CBH_median	CBH_sum	CBH_mode	CBH_count	CBH_mean	CC_max	CC_min	CC_median	CC_sum	CC_mode	CC_count	CC_mean	CH_max	CH_min	CH_median	CH_sum	CH_mode	CH_count	CH_mean	Shape	Neighbour_ELEV_max	Neighbour_ELEV_min	Neighbour_ELEV_median	Neighbour_ELEV_sum	Neighbour_ELEV_mode	Neighbour_ELEV_count	Neighbour_ELEV_mean	Neighbour_SLP_max	Neighbour_SLP_min	Neighbour_SLP_median	Neighbour_SLP_sum	Neighbour_SLP_mode	Neighbour_SLP_count	Neighbour_SLP_mean	Neighbour_EVT_max	Neighbour_EVT_min	Neighbour_EVT_median	Neighbour_EVT_sum	Neighbour_EVT_mode	Neighbour_EVT_count	Neighbour_EVT_mean	Neighbour_EVH_max	Neighbour_EVH_min	Neighbour_EVH_median	Neighbour_EVH_sum	Neighbour_EVH_mode	Neighbour_EVH_count	Neighbour_EVH_mean	Neighbour_EVC_max	Neighbour_EVC_min	Neighbour_EVC_median	Neighbour_EVC_sum	Neighbour_EVC_mode	Neighbour_EVC_count	Neighbour_EVC_mean	Neighbour_CBD_max	Neighbour_CBD_min	Neighbour_CBD_median	Neighbour_CBD_sum	Neighbour_CBD_mode	Neighbour_CBD_count	Neighbour_CBD_mean	Neighbour_CBH_max	Neighbour_CBH_min	Neighbour_CBH_median	Neighbour_CBH_sum	Neighbour_CBH_mode	Neighbour_CBH_count	Neighbour_CBH_mean	Neighbour_CC_max	Neighbour_CC_min	Neighbour_CC_median	Neighbour_CC_sum	Neighbour_CC_mode	Neighbour_CC_count	Neighbour_CC_mean	Neighbour_CH_max	Neighbour_CH_min	Neighbour_CH_median	Neighbour_CH_sum	Neighbour_CH_mode	Neighbour_CH_count	Neighbour_CH_mean	Neighbour_Shape	Neighbour_c_latitude	Neighbour_c_longitude	TEMP_ave	TEMP_min	TEMP_max	PRCP	SNOW	WDIR_ave	WSPD_ave	PRES_ave	WCOMP
-117.2325926813259	42.496559200497316	13132601	2012-07-11	57.8	2019	-1719898.8697383155	2359507.2769191028	1.3132602E7			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	100.0	104.0	34816.0	109.0	338.0	103.00592	122.0	100.0	116.0	37724.0	111.0	338.0	111.60947	0.0	0.0	0.0	0.0	0.0	338.0	0.0	0.0	0.0	0.0	0.0	0.0	338.0	0.0	0.0	0.0	0.0	0.0	0.0	338.0	0.0	0.0	0.0	0.0	0.0	0.0	338.0	0.0	MULTIPOLYGON (((-1720113.74289801 2359567.92060716, -1719738.74289801 2359567.92060716, -1719738.74289801 2359192.92060716, -1720113.74289801 2359192.92060716, -1720113.74289801 2359567.92060716)))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	100.0	102.5	31974.0	108.0	312.0	102.48077	122.0	100.0	106.5	33774.0	111.0	312.0	108.25	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	MULTIPOLYGON (((-1720113.74289801 2359192.92060716, -1719738.74289801 2359192.92060716, -1719738.74289801 2358817.92060716, -1720113.74289801 2358817.92060716, -1720113.74289801 2359192.92060716)))	-1719926.2428980102	2359005.42060716	28.0	16.1	38.3	0.0	0.0		10.9	1011.0	
-119.42588841202307	39.10110421227394	7621169	2017-08-23	0.8	955	-1987059.2325478718	2032252.7493973835	7613427.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	110.0	125.5	42010.0	117.0	338.0	124.28994	209.0	104.0	106.0	36676.0	203.0	338.0	108.50887	7080.0	7019.0	7019.0	2372906.0	7019.0	338.0	7020.432	3.0	0.0	3.0	366.0	0.0	338.0	1.0828402	5.0	0.0	2.5	610.0	0.0	338.0	1.8047338	15.0	0.0	15.0	1830.0	0.0	338.0	5.4142013	70.0	0.0	0.0	7820.0	0.0	338.0	23.136095	MULTIPOLYGON (((-1987113.74289801 2032567.92060716, -1986738.74289801 2032567.92060716, -1986738.74289801 2032192.92060716, -1987113.74289801 2032192.92060716, -1987113.74289801 2032567.92060716)))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	233.0	114.0	226.0	68998.0	233.0	312.0	221.14743	211.0	104.0	203.0	62368.0	203.0	312.0	199.89743	9336.0	7019.0	7080.0	2311558.0	7019.0	312.0	7408.84	3.0	0.0	1.5	30.0	0.0	312.0	0.09615385	5.0	0.0	2.5	50.0	0.0	312.0	0.16025642	15.0	0.0	7.5	150.0	0.0	312.0	0.48076922	70.0	0.0	0.0	620.0	0.0	312.0	1.9871795	MULTIPOLYGON (((-1987488.74289801 2032567.92060716, -1987113.74289801 2032567.92060716, -1987113.74289801 2032192.92060716, -1987488.74289801 2032192.92060716, -1987488.74289801 2032567.92060716)))	-1987301.24289801	2032380.42060716	21.9	13.0	30.0	0.0	0.0		5.2	1015.2	
-121.12911846181173	38.16060632454107	4137442	2015-04-15	5.8	2026	-2155813.5668661897	1967337.496418017	4129699.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	698.0	0.0	312.0	2.2371795	1.0	0.0	0.0	8.0	0.0	312.0	0.025641026	45.0	0.0	0.0	240.0	0.0	312.0	0.7692308	125.0	61.0	61.0	31260.0	102.0	312.0	100.19231	110.0	61.0	81.5	27180.0	102.0	312.0	87.11539	3986.0	3105.0	3543.0	1116262.0	3182.0	312.0	3577.763	175.0	0.0	0.0	1200.0	0.0	312.0	3.8461537	MULTIPOLYGON (((-2155863.74289801 1967692.92060716, -2155488.74289801 1967692.92060716, -2155488.74289801 1967317.92060716, -2155863.74289801 1967317.92060716, -2155863.74289801 1967692.92060716)))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	125.0	111.0	125.0	38388.0	111.0	312.0	123.03846	107.0	101.0	103.5	31894.0	102.0	312.0	102.22436	3929.0	3105.0	3105.0	993878.0	3182.0	312.0	3185.5063	0.0	0.0	0.0	0.0	0.0	312.0	0.0	MULTIPOLYGON (((-2156238.74289801 1968067.92060716, -2155863.74289801 1968067.92060716, -2155863.74289801 1967692.92060716, -2156238.74289801 1967692.92060716, -2156238.74289801 1968067.92060716)))	-2156051.2428980106	1967880.42060716	15.3	8.9	25.6	0.0	0.0	315.0	19.8	1019.1	-19.8
-117.7100009750655	33.71755251488559	7754441	2013-04-19	0.6	912	-1980718.0476584218	1410709.060967037	7754442.0	0.4	853	304.0	212.0	235.5	76650.0	224.0	312.0	245.67308	35.0	0.0	22.5	1937.0	0.0	156.0	12.416667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	15.0	58.5	7441.0	15.0	156.0	47.69872	125.0	15.0	70.5	8785.0	15.0	156.0	56.314102	6.0	0.0	0.0	6.0	0.0	156.0	0.03846154	20.0	0.0	0.0	20.0	0.0	156.0	0.12820514	45.0	0.0	22.5	45.0	0.0	156.0	0.28846154	375.0	0.0	0.0	375.0	0.0	156.0	2.4038463	MULTIPOLYGON (((-1980738.74289801 1410817.92060716, -1980363.74289801 1410817.92060716, -1980363.74289801 1410442.92060716, -1980738.74289801 1410442.92060716, -1980738.74289801 1410817.92060716)))	254.0	190.0	218.5	64470.0	206.0	288.0	223.85417	24.0	1.0	6.0	1826.0	6.0	144.0	12.680555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	15.0	58.5	9376.0	15.0	144.0	65.111115	125.0	15.0	125.0	11368.0	15.0	144.0	78.94444	6.0	0.0	0.0	6.0	0.0	144.0	0.041666668	20.0	0.0	0.0	20.0	0.0	144.0	0.1388889	45.0	0.0	0.0	45.0	0.0	144.0	0.3125	375.0	0.0	0.0	375.0	0.0	144.0	2.6041667	MULTIPOLYGON (((-1980738.74289801 1410442.92060716, -1980363.74289801 1410442.92060716, -1980363.74289801 1410067.92060716, -1980738.74289801 1410067.92060716, -1980738.74289801 1410442.92060716)))	-1980551.24289801	1410255.4206071598	19.6	11.1	28.3	0.0	0.0	240.0	7.5	1018.3	-3.75
-114.91121009140848	36.35950350402778	14156448	2014-06-04	1.0	912	-1670352.5454812597	1645707.0215176714	1.416419E7			733.0	707.0	720.5	223252.0	712.0	312.0	715.5513	13.0	0.0	2.0	735.0	0.0	156.0	4.7115383	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	0.0	156.0	0.0	100.0	23.0	66.0	5317.0	24.0	156.0	34.083332	100.0	23.0	31.0	5317.0	24.0	156.0	34.083332	3298.0	3218.0	3294.0	513422.0	3218.0	156.0	3291.1667	0.0	0.0	0.0	0.0	0.0	156.0	0.0	MULTIPOLYGON (((-1670613.74289801 1645942.92060716, -1670238.74289801 1645942.92060716, -1670238.74289801 1645567.92060716, -1670613.74289801 1645567.92060716, -1670613.74289801 1645942.92060716)))	713.0	702.0	705.5	203460.0	703.0	288.0	706.4583	11.0	0.0	1.0	200.0	0.0	144.0	1.3888888	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	0.0	0.0	0.0	0.0	0.0	144.0	0.0	116.0	31.0	31.0	11030.0	111.0	144.0	76.59722	106.0	31.0	31.0	10474.0	105.0	144.0	72.736115	3295.0	3082.0	3155.0	458799.0	3218.0	144.0	3186.1042	0.0	0.0	0.0	0.0	0.0	144.0	0.0	MULTIPOLYGON (((-1670238.74289801 1645942.92060716, -1669863.74289801 1645942.92060716, -1669863.74289801 1645567.92060716, -1670238.74289801 1645567.92060716, -1670238.74289801 1645942.92060716)))	-1670051.2428980102	1645755.4206071598	29.3	18.6	37.1	0.0	0.0	299.7	8.9	1006.6	7.73082
-119.92810567378442	38.04297906237989	6150467	2013-08-31	1.4	1040	-2058156.0290835374	1928070.9349942054	6158208.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	101.0	110.5	37432.0	111.0	338.0	110.74556	125.0	101.0	104.5	35320.0	102.0	338.0	104.49704	16.0	0.0	0.0	2350.0	0.0	338.0	6.952663	100.0	0.0	11.0	3586.0	0.0	338.0	10.6094675	75.0	0.0	35.0	15400.0	0.0	338.0	45.56213	375.0	0.0	375.0	118600.0	0.0	338.0	350.88757	MULTIPOLYGON (((-2058363.74289801 1928317.92060716, -2057988.74289801 1928317.92060716, -2057988.74289801 1927942.92060716, -2058363.74289801 1927942.92060716, -2058363.74289801 1928317.92060716)))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	111.0	111.0	31968.0	111.0	288.0	111.0	107.0	103.0	106.0	30144.0	105.0	288.0	104.666664	16.0	5.0	9.0	2334.0	6.0	288.0	8.104167	11.0	9.0	11.0	3128.0	9.0	288.0	10.861111	75.0	35.0	55.0	14880.0	75.0	288.0	51.666668	375.0	375.0	375.0	108000.0	375.0	288.0	375.0	MULTIPOLYGON (((-2057988.74289801 1928692.92060716, -2057613.74289801 1928692.92060716, -2057613.74289801 1928317.92060716, -2057988.74289801 1928317.92060716, -2057988.74289801 1928692.92060716)))	-2057801.24289801	1928505.4206071598	24.9	16.0	35.0	0.0	0.0	169.7	5.1	1011.5	2.90333
-121.36068529264526	40.606077726986264	5228345	2012-08-13	5.7	1018	-2102737.3243510816	2237273.452031741	5220604.0	6.4	959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	31.0	31.0	7064.0	111.0	156.0	45.28205	107.0	31.0	31.0	6883.0	102.0	156.0	44.121796	18.0	0.0	0.0	256.0	0.0	156.0	1.6410257	23.0	0.0	0.0	245.0	0.0	156.0	1.5705128	75.0	0.0	0.0	1255.0	0.0	156.0	8.044871	375.0	0.0	0.0	8325.0	0.0	156.0	53.365383	MULTIPOLYGON (((-2102988.74289801 2237317.92060716, -2102613.74289801 2237317.92060716, -2102613.74289801 2236942.92060716, -2102988.74289801 2236942.92060716, -2102988.74289801 2237317.92060716)))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	111.0	31.0	71.0	7954.0	111.0	156.0	50.98718	107.0	31.0	67.0	7726.0	102.0	156.0	49.525642	16.0	0.0	12.0	390.0	0.0	156.0	2.5	11.0	0.0	4.5	349.0	0.0	156.0	2.2371795	75.0	0.0	0.0	2185.0	0.0	156.0	14.006411	375.0	0.0	0.0	14225.0	0.0	156.0	91.1859	MULTIPOLYGON (((-2103363.74289801 2236942.92060716, -2102988.74289801 2236942.92060716, -2102988.74289801 2236567.92060716, -2103363.74289801 2236567.92060716, -2103363.74289801 2236942.92060716)))	-2103176.2428980106	2236755.42060716	32.2	18.9	44.4	0.0			4.3	1007.0	
-119.18324180282946	35.62621747315951	6097016	2017-09-19	6.6	2110	-2060624.5802330382	1649653.2482837879	6104759.0			142.0	137.0	140.5	40166.0	141.0	288.0	139.46527	2.0	0.0	1.0	88.0	0.0	144.0	0.6111111	144.0	110.0	124.0	18815.0	143.0	144.0	130.65973	110.0	103.0	108.0	15289.0	108.0	144.0	106.173615	7980.0	7980.0	7980.0	1149120.0	7980.0	144.0	7980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	144.0	1.0	144.0	1.0	45.0	15.0	30.0	4430.0	15.0	144.0	30.76389	110.0	30.0	70.0	9840.0	30.0	144.0	68.333336	MULTIPOLYGON (((-2060988.74289801 1649692.92060716, -2060613.74289801 1649692.92060716, -2060613.74289801 1649317.92060716, -2060988.74289801 1649317.92060716, -2060988.74289801 1649692.92060716)))	146.0	142.0	144.0	48612.0	143.0	338.0	143.82248	2.0	0.0	0.0	86.0	0.0	169.0	0.5088757	144.0	61.0	128.0	18627.0	111.0	169.0	110.21893	119.0	61.0	104.0	17136.0	111.0	169.0	101.39645	7981.0	7980.0	7980.0	1348654.0	7980.0	169.0	7980.201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	135.0	0.0	169.0	0.79881656	45.0	0.0	15.0	3265.0	0.0	169.0	19.319527	190.0	0.0	30.0	16090.0	0.0	169.0	95.2071	MULTIPOLYGON (((-2060613.74289801 1649317.92060716, -2060238.74289801 1649317.92060716, -2060238.74289801 1648942.92060716, -2060613.74289801 1648942.92060716, -2060613.74289801 1649317.92060716)))	-2060426.24289801	1649130.4206071598	22.2	16.1	26.1	0.0	0.0	320.9	10.4	1013.3	10.34491
-120.55185304390602	38.84068290694658	5538582	2014-09-16	4.4	1004	-2087824.231174145	2028241.4499406563	5530840.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	190.0	0.0	288.0	0.6597222	12.0	0.0	0.0	126.0	0.0	288.0	0.4375	65.0	0.0	0.0	760.0	0.0	288.0	2.6388888	122.0	102.0	108.5	33068.0	102.0	288.0	114.81944	111.0	102.0	107.0	30028.0	102.0	288.0	104.263885	3138.0	3027.0	3098.0	891862.0	3027.0	288.0	3096.7432	375.0	0.0	0.0	5100.0	0.0	288.0	17.708334	MULTIPOLYGON (((-2087988.74289801 2028442.92060716, -2087613.74289801 2028442.92060716, -2087613.74289801 2028067.92060716, -2087988.74289801 2028067.92060716, -2087988.74289801 2028442.92060716)))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	138.0	0.0	312.0	0.44230768	6.0	0.0	0.0	68.0	0.0	312.0	0.21794872	45.0	0.0	0.0	470.0	0.0	312.0	1.5064102	122.0	102.0	115.0	35724.0	102.0	312.0	114.5	111.0	102.0	104.0	32536.0	111.0	312.0	104.28205	3138.0	3027.0	3098.0	965672.0	3027.0	312.0	3095.1025	375.0	0.0	0.0	4050.0	0.0	312.0	12.980769	MULTIPOLYGON (((-2088363.74289801 2028442.92060716, -2087988.74289801 2028442.92060716, -2087988.74289801 2028067.92060716, -2088363.74289801 2028067.92060716, -2088363.74289801 2028442.92060716)))	-2088176.24289801	2028255.42060716	24.0	17.0	30.0	0.0	0.0		4.3	1014.1	
-118.28609639475336	41.79646999472047	11026928	2012-08-13	3.8	1017	-1822059.1157682955	2302896.4519842425	1.1034671E7			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	106.0	104.0	104.5	32720.0	105.0	312.0	104.871796	113.0	111.0	113.0	35174.0	111.0	312.0	112.73718	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	MULTIPOLYGON (((-1822113.74289801 2302942.92060716, -1821738.74289801 2302942.92060716, -1821738.74289801 2302567.92060716, -1822113.74289801 2302567.92060716, -1822113.74289801 2302942.92060716)))	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	104.0	106.0	32706.0	105.0	312.0	104.82692	114.0	112.0	112.5	35240.0	114.0	312.0	112.948715	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	0.0	0.0	0.0	0.0	0.0	312.0	0.0	MULTIPOLYGON (((-1821738.74289801 2302567.92060716, -1821363.74289801 2302567.92060716, -1821363.74289801 2302192.92060716, -1821738.74289801 2302192.92060716, -1821738.74289801 2302567.92060716)))	-1821551.2428980102	2302380.42060716	26.8	15.0	36.7	0.0	0.0		9.7	1011.5	
